dbn,number,question,answer
K192,0,What is your school’s mission statement?," 1. School Mission Statement: PS/IS 192, the Magnet School for Science and Inquiry is the school of character and intelligence. At PS/IS 192 each student is special and precious. Our school mission is to use every minute for every child to excel as a student and as a citizen.   2."
M285,0,What is your school’s mission statement?," Section 4: CEP Overview At Harlem Renaissance High School, our mission as a team is to enable students who are over-aged and under-credited, who often lack the confidence and skills to compete in traditional settings. Our goal is to provide students with resources and supports to become successful and collaborative problem solvers, equipping them to address real world complexities with integrity and accountability to create pathways for their own success.   2."
M291,0,What is your school’s mission statement?," Our School Mission and Vision is as Follows: Mission Statement: West End Secondary School empowers students to achieve at the highest level by cultivating their innate curiosity and nurturing their natural ability to wonder and create.   Vision: West End Secondary School (WESS) envisions our classrooms to be a safe context in which adolescents can work through problems with guidance and the necessary supports to arrive at their own true discovery. The delight that characterizes the moment when one reaches an understanding, arrives at the derivation of a formula, or acknowledges the connection between a math problem and its application to engineering are extraordinary moments in a student’s development. These accomplishments are most memorably achieved and valued when a student ventures into this territory as a result of carefully planned learning experiences that place the teacher as the facilitator of learning. WESS will emphasize the central role that the student plays in his or her own learning process, understanding that students learn best when they discern the value in learning and enjoy getting there. Every classroom will present complex material that students will encounter with a mix of uncertainty and struggle, and we believe that struggles promote patience and perseverance, both of which inevitably lead to growth. 2."
K186,0,What is your school’s mission statement?," The educational community of PS 186 is committed to ensuring that all students strive for and achieve excellence in academics, arts and citizenship. We promote strong communication between the home and school and plan for an instructional program that challenges and engages students’ thinking and creativity. PS 186’s instructional focus is to foster a growth mindset in all students that develops their ability to self-regulate, to persevere through challenging problems and texts, and to empathize with their peers in challenging situations.   2."
R064,0,What is your school’s mission statement?," The Gaynor McCown EL High School is a small, safe, academically rigorous learning community that prepares students for success in college and other post-secondary options. We provide a nurturing learning community, supported by peaceful problem solving, students' respect for scholastic excellence, a building of character, and creativity. For the past 10 years, McCown has been guided by the Core Practices of EL Education (EL) and its relationship with New York City Outward Bound Schools.   2."
R058,0,What is your school’s mission statement?," Section 4: CEP Overview OUR MISSION   We, at PS 58R, The Space Shuttle Columbia School, a school named honoring the memory of seven heroes who gave their lives to promote space exploration, will provide a supportive and intellectually challenging learning environment designed to create lifelong learners who will eventually become productive members of our society. 2."
X213,0,What is your school’s mission statement?," The Bronx Engineering and Academy (BETA) learning community has the high expectation to improve college readiness standards for ALL students. Teachers will coordinate and deliver data-driven instruction, while administrators will coordinate and deliver data-driven leadership as evidences by creating a culture of continuous improvement that will identify, assess, create, and use benchmark assessments to inform instruction. Our mission is to close the gap in academic achievement on the Common Core English Language Arts and Algebra One Regents for two sub-groups: students with disabilities, and (SWD) and students learning English as a New Language (ENL).   2."
Q237,0,What is your school’s mission statement?," Section 4: CEP Overview Middle school education at IS 237 will emphasize the social, emotional, educational, and physical needs of our school community. It will strive to provide a safe and secure environment conducive to the exploration of each individual's potential. Our focus is on the journey as well as the destination.   2."
K637,0,What is your school’s mission statement?," At The Academy for Conservation and the Environment (ACE) teacher teams work diligently to plan, implement, reflect and revise instruction. Our vision, mission and instructional focus was created in conjunction with our teacher teams. ACE’s vision is: “Every Graduate will be prepared for College / Career success” Our Mission is to prepare students with the knowledge, skills, confidence, and motivation to become positive members of their community, environment, and society. Students will engage in rigorous activities that will foster college / career success through our teacher-generated ACE core beliefs of how students learn best: accountability, routines, applicable knowledge,   and data driven reflective modified instruction. ACE core values this year were transformed into an acronym that describes for students what they should aspire to be: -Ambitious while exceeding expectations and persevering over adversity -Charged to take ownership of not only ourselves but those around us -Equipped with knowledge, resources, and skills needed to thrive as lifelong learners 2."
X561,0,What is your school’s mission statement?, Mission Statement: Section 4: CEP Overview The mission of Bronx Compass High School is to develop in each student the necessary skills to graduate college ready and be equipped to pursue a career path they are passionate about by providing rigorous instruction and real-world experiences in the classroom and on internships that socially and emotionally prepare all of our students for future success.   2.
Q223,0,What is your school’s mission statement?," Section 4: CEP Overview “If you want to go fast, go alone. If you want to go far, go together ” – African Proverb Our Educational Philosophy : The staff, parent's and the entire school community believe deeply in the power of professional learning communities as a catalyst for ongoing change, improvement and innovation in education; as   such, we believe it is incumbent on all of us in the field of education to be professionals, to be learners, and to work as members of communities or teams. We believe the powerful collaboration that characterizes professional learning communities is a systematic process in which teachers work together to analyze and improve their classroom practice. Teachers work in teams, engaging in an ongoing cycle of inquiry that promotes deep team learning. This process in turn, leads to higher levels of student achievement. Our Mission Statement: P.S.223 is a professional learning community with the mission of collaborating for the academic, emotional, and social growth of each student through quality and purposeful educational experiences in and out of the classroom. Our school and community will share in the responsibilities of nurturing students along the path to thrive as productive life-long learners in a culturally rich world. 2."
X207,0,What is your school’s mission statement?," Our school vision of “Growing Leaders of Today and Tomorrow”, is supported by our mission to provide a safe, nurturing, and developmentally appropriate school experience which develops the whole child. Together as a team, our staff, families and community, are committed to fully supporting both the academic and social emotional needs of our students. Each day, we guide our students through rich experiences as they grow, learn and discover the leadership skills necessary to make significant impact on their school, home, and global community. Our vision is supported by our mission to provide a developmentally appropriate, engaging, safe and supportive learning environment. Each day, our students engage in interdisciplinary tasks designed to foster critical thinking skills   alongside activities focused on their physical and emotional well being. We believe that both academic and social-emotional learning are fundamental to our students’ success in growing into leaders of today and tomorrow. 2."
M534,0,What is your school’s mission statement?," Harvest Collegiate High School was founded five years ago, in 2012, with this mission statement: Section 4: CEP Overview Harvest Collegiate High School offers a rich and challenging intellectual education rooted in a natural growth cycle of compelling experience, inquiry and the pursuit of precision, culminating in the collaborative construction of meaning, action and reflection. We believe in cultivating students’ power to produce and reflect, rather than simply consume, as a fundamental way of being in the world.   2."
M087,0,What is your school’s mission statement?," Section 4: CEP Overview P.S. 87 IS ONE FAMILY UNDER THE SUN We are a community of learners that includes children, teachers, staff and   families. Our mission is to build a stimulating and inclusive environment in which every student develops academically, socially and emotionally. WE ARE COMMITTED TO: * Creating a safe and supportive school culture, which promotes academic risk-taking in students and teachers. * Encouraging diverse learners to become self-directed, creative and independent through inquiry and exploration. * Fostering critical thinking through a grade-by-grade thematic curriculum centered on experiential learning, always striving towards academic excellence. Our hope is that as students leave P.S. 87 they continue to be active participants in their communities 2."
K384,0,What is your school’s mission statement?," Mission Statement: Section 4: CEP Overview The Frances E. Carter School, PS/IS 384, is a community school that affords all of our students the opportunity to achieve academic excellence and personal growth through a rigorous, collaborative, safe and loving educational environment. By providing students with strong academic foundational skills, and the knowledge that perseverance leads to success, our students will develop into critical thinkers and conscientious decision makers.   We will empower our students to make successful choices that will positively impact their lives in high school, college, careers and beyond. The Vision of PS/IS 384: As a growth-mindset based community of learners, we instill in our staff, students and parents the belief that everyone can get smarter, learn how to complete difficult tasks, solve complex problems and grow their own intelligence. Our vision is to teach students how to use different strategies to overcome challenges, and understand that hard work is the key to achievement. Having a growth mindset is essential to lifelong success, and at PS/IS 384 we prepare all of our students for the future by giving them the tools, knowledge, skills, and personal characteristics needed to be successful. 2."
Q009,0,What is your school’s mission statement?," The Mission of Our School is to create an environment where learning is a journey towards things yet to be discovered, where learners are encouraged and motivated to enjoy school every day. We create a culture where students feel safe, supported and challenged by their teachers as well as their peers.   2."
K409,0,What is your school’s mission statement?," East New York Family Academy(E.N.Y.F.A) Mission Statement “We are a kind and caring family of curious and thoughtful learners.” ● We recognize the ability of all children to learn well.   ● We instruct, support and prepare students for higher learning and successful workforce participation. ● We strive to maintain rigorous academic standards and current technological integration. ● We facilitate our students’ exploration of their individual intelligences, emotional and social skills, and we guide their access to their full potential. ● We are committed to communication among our students,parents, staff and other stakeholders that reflects kindness and caring. 2."
Q035,0,What is your school’s mission statement?," Section 4: CEP Overview School Mission Statement: “The staff, parents, organizations, and students of the Nathaniel Woodhull School are committed to fostering academic excellence. Our mission is to provide high quality instruction aligned to the Common Core. We are equally committed to nurturing the social and emotional needs of our students. We value the rich diversity of our community of learners."" (September 2014)   2."
X011,0,What is your school’s mission statement?, PS 11 is committed to working collaboratively to have every student meet or exceed grade level standards in all content areas. We are committed to creating a school that knows no limits to the academic and social success of each student.   2.
K353,0,What is your school’s mission statement?," Our mission is to promote and sustain high levels of academic achievement for all of our students, by understanding their individual needs and personalizing the instructional process to positively impact learning outcomes. Given a rigorous and nurturing environment, students will be able to think judiciously and analytically; absorb useful information, discuss world events, pose thoughtful questions, and develop a sense of civic duty. Ultimately, students will be life-long learners who are able to perform, produce and compete effectively in the global marketplace of the twenty-first century technological age.   2."
Q021,0,What is your school’s mission statement?," Section 4: CEP Overview Our mission is to prepare our students to become socially-emotionally aware, independent learners and leaders with the desires, the skills, and the abilities necessary for lifelong learning. This will require creating a learning environment which is centered around students, facilitated by teachers, and supported by home and community.   2."
M859,0,What is your school’s mission statement?," Section 4: CEP Overview The mission of the Special Music School is to provide schooling to musically gifted children through a combination of highly structured instrumental training and a standards-based academic program. The school prepares musically gifted children for professional music careers while recognizing that not every student will choose such a career.   The underlying philosophy informing the structure and operation of the School is the belief that music education for gifted pupils requires: 1. Extensive opportunities to work with an outstanding instrumental faculty on a one-to-one basis, 2. A structured, sequential music curriculum, 3. Opportunities to perform before audiences, 4. A program of close interaction between general academic and musical studies. It is our goal to see each child reach his or her maximum academic and musical potential. Our vision is that all Special Music School students will become lifelong learners and critical thinkers in the context of a caring, respectful, and safe learning environment. 2."
Q196,0,What is your school’s mission statement?," Section 4: CEP Overview Our vision is to create an environment in which we prepare our children for the future, by educating the whole child; allowing for collaboration among our teachers to ensure best practices, so students can achieve the highest standards; and working with parents as partners.   2."
X159,0,What is your school’s mission statement?," Our mission at Public School 159 is for all of our students to develop a life long love of learning. We believe all students will reach high standards in a equitable child-centered, risk free environment that utilizes the children's strengths and interests to move them forward. Our ultimate goal is for the entire school community, staff, students, and parents to work collaboratively, support, and enhance life-long learners who can become active productive members of a multicultural and complex society.   2."
R460,0,What is your school’s mission statement?," Section 4: CEP Overview   The mission of Susan E. Wagner High School is to develop reflective, empowered learners - both students and adults - who take responsibility for their learning. We will shape a 21st Century global society by inspiring stakeholders to value education, equity, excellence, and empathy. 2."
Q169,0,What is your school’s mission statement?," Section 4: CEP Overview PS 169 is dedicated to creating a nurturing and intellectually enriched environment that develops each child's unique capabilities in a home-school environment. It is our goal for all children to foster a love of learning, to stimulate critical thinking, to encourage a caring and compassionate school community, and to prepare the leaders of tomorrow. We do this by embracing cultural diversity, building understanding and tolerance of differences, fostering creativity, developing self-esteem, employing multiple teaching strategies, integrating the arts, exhibiting an elevated   degree of professionalism, maintaining high expectations and applying consistent standards for all children, encouraging active parent guardian participation, and involving the entire school and community in a commitment to excellence in all we do for children. At PS 169, we cultivate children to coexist in the garden of life while displaying their singular characteristics. 2."
M130,0,What is your school’s mission statement?," Public School 130 Manhattan, the Hernando De Soto School, fully embraces its vision and mission for PS 130, “ Excellence in Education – Enrichment for all Children.” PS 130 aims to be a diverse and inclusive learning community of students, families, and educators dedicated to the pursuit of learning and excellence in education. The school is grounded in the belief that effort creates ability. Every individual has the right to an education that empowers, shaping society as participatory citizens. We take a whole child approach to education, providing each student with academic rigor, meaningful experiences, and unique opportunities. All stakeholders strive to maintain a school culture rooted in hard work, respect, and responsibility, made possible by a positive, safe, and nurturing environment. We   support the potential for growth and success in each and every member of our community. PS 130 has a tremendous team working together for our students, as we have a very supportive administration, colleagues, and parent body. 2."
Q141,0,What is your school’s mission statement?," Section 4: CEP Overview Pride, achievement and commitment to excellence and old-fashioned values are the traits that make Steinway Intermediate School 141 a beloved middle school in Astoria. Our school boasts a commitment to providing every   single student who walks through our doors with a world-class education in a safe environment that is conducive to learning. 2."
K227,0,What is your school’s mission statement?,"   School Vision Our Vision is to ensure that all students are college and career ready through high expectations and standards of academic excellence as they go forward on their path to becoming life-long learners. • Maintain and adhere to a rigorous curriculum to cultivate and develop the right skills for a rapidly changing workplace. • Educate with an integrated and technology rich curriculum that reaches across disciplines. • Transform and encourage an atmosphere of cooperation, respect, community and values and enforce discipline and ethic codes that provide a safe environment. • Stimulate sensitivity and understanding throughout the entire learning community to understand and accept our cultural differences our community to become adaptable professional members of society. School Mission Together Building a Better Tomorrow Today 2."
K233,0,What is your school’s mission statement?," Our mission statement is as follows:   The Langston Hughes School community’s mission is to provide a safe, nurturing and predictable environment where our scholars can learn to think critically, question the world around them, communicate their thoughts, feelings and ideas articulately and show empathy for others. 2."
Q155,0,What is your school’s mission statement?," Our mission statement: We the staff, parents, and students of the Ronald H Brown School commit ourselves to a high standard of academic, social, emotional, and physical excellence. This message is a part of our morning announcements each day and a message that is embedded in every activity throughout the school day. This message also is related to our School-  Wide focus for this past year: providing enrichment opportunities that enhance the learning and heighten character development to the whole child (academically, socially, emotionally and physically). 2."
K555,0,What is your school’s mission statement?, Brooklyn College Academy is a collaborative community of lifelong learners inspiring future leaders and nurturing global citizens.   2.
M124,0,What is your school’s mission statement?," Section 4: CEP Overview The mission of P.S. 124 is to create an inclusive community that strives to foster caring, compassionate, and critical thinkers. Students are provided with a stimulating and well rounded education through a range of programs, suited to their unique needs and abilities. The variety of rigorous educational programs address the intellectual, physical, social and emotional needs of all our students.   2."
M497,0,What is your school’s mission statement?," Our mission is to educate children to be thoughtful citizens of a democratic society by providing an education that is investigative and reflective, encourages choice and expects responsibility and discipline in all areas of learning and social behavior. Classrooms represent the developmental needs of every child as well as their interests, strengths and passions. The community works collaboratively depending on the contributions of parents, children and professional educators to realize the potential of human capacity.   2."
K025,0,What is your school’s mission statement?," Vision Section 4: CEP Overview To enable all of our students to become lifelong learners, responsible citizens and valuable and contributing members of the global community in which they live. Our vision embraces the philosophy of a “School-of-One” where every single child is differentiated for based on his/her needs and interests; where each child is seen as the only child in the   school; where learning is personalized for every child and where every must know that there is at least one adult in the building who knows hisher story and cares deeply about himher. Mission: The Mission of PS 25 is to provide a collaborative, meaningful and rigorous standards driven educational experience for all students, parents, teachers and staff in a safe, caring and intellectually stimulating “children first” environment. Opportunities are provided to promote academic excellence, maximize student achievement in all areas, develop characteristics associated with good citizenship, scholarship and team participation as students learn today to lead tomorrow . 2."
Q343,0,What is your school’s mission statement?," Our Mission Section 4: CEP Overview The Children’s Lab School embraces the learning needs of all students. We encourage every child to experience the joy of learning and achieving. We teach our students in ways that activate their strengths, meet their particular needs, and increase their resilience as learners. We work in a climate of respect for all children and adults in the school community, with explicit support for social and emotional growth. Our goal is to help our students to become happy,   confident and compassionate learners who have the knowledge and skills necessary to thrive in middle school and beyond. 2."
M332,0,What is your school’s mission statement?," The UNMS experience is built upon the vision and mission that developing the whole child into young adulthood encompasses trust, consistency, achievement, respect, empathy and shared responsibility. We realize living in the urban landscape requires understanding, thoughtfulness and care. A true learning community is built by all the facets of our students experiences, growth and development. Our Mission: The mission of University Neighborhood Middle School is to provide a nurturing educational   experience for students of the Lower East Side, that helps them develop a positive self-image, achieve academic and social growth, and enables them to enter and succeed in an academically rigorous high school. Our Vision: UNMS students will become independent and adaptive learners who make a meaningful impact on our increasingly global society and have the skills and character to continually develop and achieve meaningful goals. 2."
K031,0,What is your school’s mission statement?," Our shared vision is to develop critical thinkers and problem solvers through rigorous learning, and utilizing advanced technology. Highly qualified educators in partnership with parents and community will grow students who are prepared for success in post-secondary education and beyond. The mission of PS 31 is to cultivate a nurturing environment in which our school community is committed to challenge each student to meet his/her optimal potential academically, socially and emotionally by respecting, appreciating and challenging them in a caring community, while building a sense of responsibility and respect. Through rich and varied   learning experiences, we will provide the vehicle for students to succeed in meeting the Common Core Learning Standards (CCLS) and lay the foundational skills needed for college and career readiness. Our goal is to have students become innovative thinkers, resourceful problem solvers, effective communicators, inspired learners, and productive and responsible citizens. 2."
R605,0,What is your school’s mission statement?," Mission: The SITHS community fosters the development of well-rounded, passionate learners through engaging academics and participation in student activities, athletics, service learning, cultural immersion and community service. SITHS cultivates strong collaboration, communication, creativity and critical thinking skills. We strive to instill in our students a mindset to meaningfully contribute to, and shape a 21st Century global society that values equity, excellence, and empathy.   In support of our school vision and mission, it is our pledge to:  Support close communication between home and school that ensures greater parent/guardian involvement.  Expose and engage students in the use of modern technologies that support the literacy and communication skills required of the 21st Century College and Career ready student.  Provide and encourage ongoing professional development opportunities for our faculty and staff.  Encourage and promote student involvement in local and global issues through rigorous and relevant classroom instruction, activities, clubs and experiential learning opportunities.  Encourage lifelong fitness and health awareness. 2."
M369,0,What is your school’s mission statement?," Section 4: CEP Overview The Urban Assembly School for the Performing Arts (UASPA) aims to sustain a challenging college-preparatory curriculum that infuses the performing Arts into all aspects of the academic experience. By using the Arts as a teaching tool and providing students with the means to express themselves, UASPA will breathe life and confidence into all members of our school community. We will use the cultural and professional resources of New York City to   ensure that students receive a rigorous education which exceeds state standards, are successful in earning a college degree, and have a vision for what their future holds. 2."
Q318,0,What is your school’s mission statement?," Section 4: CEP Overview The Waterside School for Leadership believes that high expectations for all, balanced with support and care, lead to the success of our scholars. These high expectations mean that scholars exhibit leadership in three ways: Leading their Lives, Learning and Community. They become leaders of their lives by building upon, displaying, and discussing value systems and ethical behaviors. In our our school and classroom environments, scholars role play and interact with others as independent and committed problem-solvers, effective communicators and responsible, caring citizens.   These skills are also demonstrated through a variety of required activities which include public speaking during community meetings, participation in student government and other school activities, and yearly portfolio presentation to an exit panel. Many scholars lead their own learning by working with teachers and parents to develop learning goals every two weeks. As self-aware scholars, Waterside scholars articulate their needs and seek out assistance to reach these goals. Lastly, scholars are leaders in their community by engaging in community service and service learning projects. These activities foster authentic learning experiences within a real-world context and encourage a stronger sense of social responsibility and civic awareness. 2."
Q330,0,What is your school’s mission statement?, Our mission is to develop 21st century culturally responsive citizens who pursue excellence while making positive contributions to our global community.   2.
M427,0,What is your school’s mission statement?, Manhattan Academy for Arts and Language is an academic school designed for English Language Learners that encourages high expectations for success in post-secondary education and a global economy.   2.
K056,0,What is your school’s mission statement?," PS 56 is a growing public school in Brooklyn, NY encompassing Pre-Kindergarten through 5th grade. We provide a nurturing and caring education experience for all children that focuses on engaging students in a wide variety of programs that tap into the students' talents and learning styles. At PS 56, we believe that all students can be leaders and pursue their talents and passions and it is our responsibility to provide a wide range of programs in order to ensure that this happens on a consistent basis throughout the year. In the classrooms, the teachers plan and teach   lessons that facilitate authentic learning experiences in all content areas that are open ended, rigorous, and engaging. Finally, our school community is inclusive, warm and welcoming of all people, with a family orientated environment. In order to: Provide a nurturing and caring education experience for all children, our teachers implement the Leader in Me process, with the students learning about the 7 Habits of Highly Effective People throughout the school year. This teaching and learning occurs through direct instruction in the classrooms, through community engagement, through leadership roles in the classrooms, and through experiential learning. We have established a common language for leadership and positive peer interactions through the 7 Habits that are evident throughout the physical space, posted in classrooms and murals throughout the building. Our teachers facilitate lessons around the Habits, implement read alouds and utilize web-based resources. Through this process, our students are exemplifying the Habits throughout the school and in their community. In order to: Engage students in a wide variety of programs that tap into students' talents and learning styles, PS 56 offers a multidisciplinary approach to learning. This is achieved through authentic reading and writing experiences in a variety of genres, narrative, informational, and persuasive writing, so students can obtain information and comprehend text, apply and synthesize the information, and then to use their new understandings for creative endeavors. In mathematics, we develop students that can utilize multiple strategies for problem solving, so that students can adapt their learning and apply strategies in multiple contexts. In the content areas, we foster an ability for students to research, to experiment, and draw conclusions about the topics addressed. In order to: Establish PS 56 as an inclusive, warm and welcoming school environment, we open our doors to all students and families in order to diversify our students body, meet the needs of all children, from those with special needs, to English language learners, to gifted and talented students. We believe that students learn best when they interact, teach and learn from each other with a variety of racial and ethnic backgrounds, socioeconomic standing, and ability levels. PS 56 is representative of the greater community, and our strength is our ability to celebrate our differences in order to establish a cohesive singular school environment. 2."
K095,0,What is your school’s mission statement?," School Mission: Section 4: CEP Overview We believe that every child is capable of great success. We believe in maintaining high expectations for all students, parents and staff by providing a safe, respectful environment that will nurture and guide all members towards becoming self-motivated learners and inspiring leaders. Through this balance each child will be encouraged to achieve   excellence in the academic, physical, emotional and social realms. We believe that by working together, we can accomplish this goal for all students. 2."
Q495,0,What is your school’s mission statement?," Vision: A school that embodies Aristotle's assertion: ""What is learned, is learned by doing."" Section 4: CEP Overview Mission: To construct a framework to facilitate continuous and sustainable school development (in accordance with Deming's DCI and Ouchi's Theory) focused on developing staff accountability for improving student performance.   2."
K268,0,What is your school’s mission statement?," The mission of P.S. 268 is to create a safe learning environment, where parents, staff, administration and the community at large collaborate to provide an education that ""Inspires Possibilities"" for every student. As a team we support our general education students, students with special needs, as well as our English language learners, to move them towards academic SUCCESS. Through the use of technology, best practices in education, and enrichment activities we will engage students and give them a clear sense of purpose, leadership opportunities and set Widely   Important Goals (WIGs), we strive to produce well developed individuals by promoting college and career readiness in all grades. 2."
K254,0,What is your school’s mission statement?," Our philosophy remains as “doing what is right for children”. P.S 254 strives to provide all students with a secure, nurturing environment in which they can grow academically and socially. We are dedicated to establishing high academic standards, as well as an appreciation of the cultural diversity of our school community. Parents, teachers, and supervisors work together with the larger community to enable our children to excel and to become life long learners. Our goal is to support our students on the road to becoming caring and productive citizens.   2."
Q132,0,What is your school’s mission statement?," P.S. 132Q, the Ralph Bunche School is a diverse, proactive and collaborative community dedicated to achieving academic excellence through the correct application of the Common Core Standards. Our mission is to create a nurturing and supportive environment governed by a cohesive bond between the teacher, parent and student in order to recognize and cultivate each child’s individual strengths. At every interaction, we strive to create well rounded, productive citizens who are well informed, self-confident, successful and active participants in the society in which they live.   2."
K532,0,What is your school’s mission statement?," New Bridges Elementary believes in empowering each child’s best self and preparing them for success in college and in life. New Bridges is both an achievement-centered, academically rigorous environment driven by high expectations for scholars and their families, and a holistic community school, focused on the whole development of each child through the active engagement of our families; the integration of the arts into curriculum; and the social and emotional education of our scholars.   2."
M157,0,What is your school’s mission statement?," Section 4: CEP Overview   UASGC Mission Statement By working closely with public and private partners, UASGC will provide opportunities for economic mobility through access to college and career pathways in the growing field of supply chain management and freight logistics, the backbone of global commerce. We educate students not just “for the occupation,” but “through the occupation,” integrating instruction of industry knowledge and skills throughout rigorous academic curricula. Through our extensive public and private partnerships, we create opportunities for students to participate in a growing and dynamic industry and ensure authentic student choice in post-secondary decisions, while providing significant social and emotional supports to ensure student success. 2."
Q126,0,What is your school’s mission statement?," Section 4: CEP Overview At I.S. 126, we are committed to our mission in providing a safe learning environment where all students are held accountable and reach high levels of academic achievement. We value open communication between parents, students, and teachers. Our school fosters a spirit of lifelong learning and establishes a community of productive   citizens. We promote intellectual curiosity and creative thinking where the entire community, the arts, and all cultures are valued. 2."
K240,0,What is your school’s mission statement?," Students at Hudde IS 240 will be Taught the Common Core Standards through   Engineering, Science, Technology and Math to become Mindful participants in all communities. 2."
M180,0,What is your school’s mission statement?," Our core values are deeply rooted in in a culture of CARE: collaboration, arts & inquiry-based learning, reflection, and empowerment. As a caring community of innovators and leaders, we strongly believe that   learning is constructed through social interaction and experience; children develop confidence in their own voice if they have the opportunity to creatively examine new ideas from multiple perspectives and generate innovative solutions to challenging real-world problems;    the habitual practice of self and peer reflection, feedback, and monitoring of goals leads to improved teaching and learning; and  ownership of learning intersects at passion, strengths, and confidence. 2."
M751,0,What is your school’s mission statement?," The mission of Manhattan School for Career Development is to provide a challenging education that maintains equity, equality, and access for all students; to equip students with critical skills that promote their intellectual, social, emotional, and ethical growth thereby empowering all students to become integrated and successful citizens in an ever-changing global and digital society.   2."
X062,0,What is your school’s mission statement?," Mission Statement Section 4: CEP Overview The P.S. 62 School Community in partnership with families will empower all students by providing rigorous learning experiences and opportunities to build each child’s self-esteem and academics, which will foster leadership, independence, creativity, and compassion for all. By embracing the whole child, we will instill a solid foundation that will enable all of our students to meet future challenges and become productive citizens.   2."
Q046,0,What is your school’s mission statement?," Our Mission/Vision is that all students can learn and succeed. We support each child academically, emotionally and socially, giving students a well-rounded education, attainment of the Next Generation Learning Standards and prepare them to be innovative and productive citizens of the 21st Century. Our mission at PS 46Q is to support all students, including general education, special education, English as a New Language Learners and gifted students academically, socially and emotionally in order to achieve success and to become productive citizens. We set high expectations for all students and work collaboratively as a community   including, teachers, paraprofessionals, administration and families, creating multiple opportunities for students to engage in enriching academic, technology and arts opportunities throughout the school year. 2."
K446,0,What is your school’s mission statement?," At PS 446 the Riverdale Avenue Community School we believe that Resilience + Awareness + Collaboration = Success! As a neighborhood school, we see all of these components as being intrinsic parts of the neighborhood community itself. We are resilient when facing challenges that may arise, no matter how large or small. We are aware of ourselves and those around us, and seek to gain greater understanding and enlightenment whenever possible. Through our collaborative efforts, we come together to form a stronger unit and learn all that we can from each other. The combination of these efforts leads to success, both individually and as a community at large.   It is incumbent upon all of us to work together to ensure that the needs of students, parents, and staff are met. We are a focused learning community, where knowledge and self-improvement are our driving forces. We expect our students to constantly be learning, acquiring new skills, and encountering new experiences. Our staff works daily to ensure that these kinds of opportunities are being provided to students, and that they are seeking opportunities to enhance their own personal and professional lives. As their child’s first teacher, parents are our number one partner in this work. We will come together to work with parents to ensure that the needs of our students are being met, and to provide support to parents. Our primary commitment every day is to our students and their overall success. We define success and opportunity as the intersection of academic skill and extracurricular experience. Teachers and staff will work together to ensure that students are being given the kinds of learning opportunities that address individual strengths and areas of growth. Community partnerships will provide students with the kinds of broad experiences that will enable them to develop into unique individuals, with passions, abilities, and interests. 2."
M037,0,What is your school’s mission statement?," Our school’s motto and mission statement is “We are a part of something greater than ourselves”. Our students will read rigorously, write and speak in a unique and strong voice, and manipulate numbers with competence and confidence. Our students will also explore art, music, dance, theater, and athletics in an effort to find at least one they are passionate about for life.   2."
K452,0,What is your school’s mission statement?," Mission Statement Section 4: CEP Overview Frederick Douglass Academy VIII will cultivate the intellectual and character development of its scholars in a safe, inclusive, and nurturing environment by providing opportunities: -to exercise choice, engage in interdisciplinary learning, and explore their creative abilities   -for learning experiences which encourage scholars to take risks by delving deeper beyond middle school curricular expectations -to practice self-discipline and independence by reflecting on one's actions and experiences -for parent partnerships and community service to foster well-rounded global citizens 2."
Q052,0,What is your school’s mission statement?," Section 4: CEP Overview “ WE CANNOT BECOME WHAT WE NEED TO BE BY REMAINING WHAT WE ARE.” Max DePree   It is our mission as educators to prepare all of our students to meet and exceed all established Performance Standards. We are striving to gain recognition as a school of excellence in achievement and character. By providing a learning environment that is safe and nurturing, our students will become life-long learners with goals of achieving excellence in all their endeavors. We will work with parents and the total community to produce well rounded students that are capable and socially conscious of their unique importance to our society. 2."
